categ_name,ac_group,ccy,group,TOTAL_AMOUNT,BANK_DATE,INT_RATE
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5488088696,10/19/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,3867388724,8/29/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3239672983,10/5/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,476196.25,9/29/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4402228597,9/7/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,17560193.6,10/22/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,45467.38,10/18/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,926196.25,9/16/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,2813796157,9/19/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4485624596,10/6/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4933755714,10/3/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,5008779588,9/26/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,1746777396,8/31/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,4097438043,8/31/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,1324278.25,10/2/2018,0
MBL Individual Call Deposit,99,NPR,CALL DEPOSIT,185615.83,9/6/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3444824052,10/8/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,18550237.65,10/12/2018,0
Call Account-5 % TAX RATE,99,NPR,CALL DEPOSIT,16653591.1,9/23/2018,0
CALL DEPOSIT Tax 15 %,99,NPR,CALL DEPOSIT,3987931511,8/25/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3770811881,10/15/2018,0
Call Account-0 % TAX RATE,13,NPR,CALL DEPOSIT,3831876909,10/12/2018,0
